cases,seed,method,dissipation_coverage,dissipation_width,dissipation_error,steepness_coverage,steepness_width,steepness_error,converged,n_iter,n_fev,n_skipped,n_nonfinite,termination_status,termination_message,max_iter,max_fun
16,18,POPS ellipse,1.0,0.8832780220944527,0.05275290171301815,0.7333333333333333,0.5221509294483447,0.15304843684676572,,,,,,,,,
16,18,Ellipse+EB,1.0,0.9430284249491034,0.049035298615859785,0.75,0.5524757521749366,0.14705888725287558,,,,,,,,,
16,18,Ellipse+PAC,0.9666666666666667,0.9030395310503774,0.04911184695687126,0.65,0.4948322488194814,0.1314746750686639,,,,,,,,,
16,18,Bayesian stacking,0.8166666666666667,0.5998645317778029,0.04614984508399908,0.5166666666666667,0.46458580692211393,0.1422294818521958,,,,,,,,,
16,18,PVI,0.9166666666666666,0.6234906719458086,0.09801141411244138,0.6333333333333333,0.35491459381852275,0.14120308759216596,True,20000.0,20000.0,0.0,,,,,
16,18,PACm,0.9833333333333333,0.7445613500127899,0.05032937443371163,0.65,0.4043632638108132,0.1391948889901714,True,262.0,286.0,,0.0,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20000.0,
16,18,PAC2-T,0.06666666666666667,0.00934310275030674,0.06093256578795332,0.05,0.006184668431591208,0.14987980102145756,True,3752.0,4011.0,,0.0,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20000.0,
16,19,Bayesian ridge,0.4666666666666667,0.12267431634315099,0.07861421965355102,0.2833333333333333,0.10083464167310878,0.1664118558514543,,,,,,,,,
16,19,POPS hypercube,0.5166666666666667,0.1825713214543167,0.08406347855416232,0.3,0.13285882427178303,0.18084566039434344,,,,,,,,,
16,19,POPS ellipse,0.6333333333333333,0.3389106137565282,0.08092168810151723,0.36666666666666664,0.20503640371505155,0.16754174243803022,,,,,,,,,
16,19,Ellipse+EB,0.75,0.38435135129483866,0.08097042316617174,0.43333333333333335,0.2684231058013574,0.16740771558017356,,,,,,,,,
16,19,Ellipse+PAC,0.7666666666666667,0.47965556697227774,0.08575594543407769,0.5166666666666667,0.33836878387298924,0.17911833443962139,,,,,,,,,
16,19,Bayesian stacking,0.5166666666666667,0.3301771522508764,0.07356712699975931,0.4,0.2612217052939554,0.16953583361280286,,,,,,,,,
16,19,PVI,0.7833333333333333,0.3776137157760415,0.09981869355283658,0.5666666666666667,0.3853469528852569,0.16547890526327436,True,20000.0,20000.0,0.0,,,,,
16,19,PACm,1.0,0.5380593288621089,0.09384436630666264,0.5333333333333333,0.39549593486895285,0.17111520297559074,True,234.0,251.0,,0.0,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20000.0,
16,19,PAC2-T,0.05,0.006897732654740521,0.0748055096592957,0.016666666666666666,0.006030251089079331,0.170149343738461,True,1741.0,1862.0,,0.0,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20000.0,
24,0,Bayesian ridge,0.6,0.13809068497796795,0.06630432801117098,0.36666666666666664,0.10344753545055665,0.16224712780256612,,,,,,,,,
24,0,POPS hypercube,0.95,0.536994607864002,0.08042758080074826,0.5833333333333334,0.3189076630364491,0.1549075576518004,,,,,,,,,
24,0,POPS ellipse,0.8333333333333334,0.543095283729256,0.07570612436553883,0.6,0.385313604672879,0.164832023614364,,,,,,,,,
24,0,Ellipse+EB,0.95,0.5953861237041671,0.07209928254845807,0.6166666666666667,0.4311943973508208,0.16333931057445666,,,,,,,,,
24,0,Ellipse+PAC,0.95,0.7331901801772795,0.06305385875198444,0.6333333333333333,0.4863576922551201,0.1718077341132164,,,,,,,,,
24,0,Bayesian stacking,0.6,0.39380475193583264,0.07606000373788856,0.43333333333333335,0.2763221003248273,0.162494333335854,,,,,,,,,
24,0,PVI,0.8666666666666667,0.5736330330486621,0.07042422120159088,0.6333333333333333,0.5253302210691471,0.13814120614285125,True,20000.0,20000.0,0.0,,,,,
24,0,PACm,0.9833333333333333,0.7172124712189263,0.035586368858974676,0.65,0.4504193756112197,0.13175133581633963,True,266.0,290.0,,0.0,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20000.0,
24,0,PAC2-T,0.06666666666666667,0.006655037439889853,0.06124847219114485,0.016666666666666666,0.004792672872103004,0.1653492752673451,True,3245.0,3494.0,,0.0,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20000.0,
24,1,Bayesian ridge,0.7833333333333333,0.28008379888878765,0.05018146507939453,0.5333333333333333,0.19352210288241534,0.12166626369023124,,,,,,,,,
24,1,POPS hypercube,1.0,1.3290212646350723,0.26742357192649324,0.7833333333333333,0.6173757674206548,0.15018972747261106,,,,,,,,,
24,1,POPS ellipse,1.0,1.0486844348348037,0.04729579049769579,0.6666666666666666,0.5801214208728652,0.12299576526559167,,,,,,,,,
24,1,Ellipse+EB,1.0,1.1261755746883737,0.052487174773562614,0.7,0.6210213646385006,0.11870619175672006,,,,,,,,,
24,1,Ellipse+PAC,1.0,1.1393555535135123,0.10730614430498753,0.75,0.6122832452084727,0.07404744879781772,,,,,,,,,
24,1,Bayesian stacking,0.8,0.5146198066839147,0.05265228569253485,0.5166666666666667,0.41151305568633545,0.12847472683205655,,,,,,,,,
24,1,PVI,1.0,1.3431476559140338,0.09187295159881645,0.7666666666666667,0.8441375806043321,0.08979638981634579,True,20000.0,20000.0,0.0,,,,,
24,1,PACm,1.0,1.5186284986921263,0.09562503239046602,0.8166666666666667,0.7314883285752309,0.0832373323477546,True,256.0,280.0,,0.0,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20000.0,
24,1,PAC2-T,0.06666666666666667,0.009643926922249038,0.04851630593130443,0.06666666666666667,0.006878415943717938,0.11777938844408448,True,6987.0,7410.0,,0.0,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20000.0,
24,2,Bayesian ridge,0.7,0.25565423525864306,0.03914327250130516,0.48333333333333334,0.17121673175631524,0.1359580190322348,,,,,,,,,
24,2,POPS hypercube,1.0,0.7979437476328233,0.10409245098077825,0.75,0.42345582294085266,0.12256233697804596,,,,,,,,,
24,2,POPS ellipse,0.9666666666666667,0.7630750999705471,0.041721912153493565,0.6166666666666667,0.46972270981690667,0.12928853275268237,,,,,,,,,
24,2,Ellipse+EB,0.9833333333333333,0.8431776411082987,0.04283509162441908,0.6833333333333333,0.5495372585587934,0.1349168721781849,,,,,,,,,
24,2,Ellipse+PAC,0.9833333333333333,0.9151784126826297,0.05070832280086106,0.7333333333333333,0.5579318475582171,0.14171841604362,,,,,,,,,
24,2,Bayesian stacking,0.7,0.46525459314820755,0.043953224559917854,0.48333333333333334,0.3712205074271653,0.13771726868405343,,,,,,,,,
24,2,PVI,0.95,1.1666184581261922,0.09892901035174934,0.75,0.7617354422582063,0.09225313013547773,True,20000.0,20000.0,0.0,,,,,
24,2,PACm,1.0,1.3682026129617728,0.10637403096414282,0.8,0.7167276304685234,0.0781674744801838,True,225.0,251.0,,0.0,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20000.0,
24,2,PAC2-T,0.03333333333333333,0.008866020450839226,0.0404434177928301,0.016666666666666666,0.006366090056654259,0.1387513586538598,True,2074.0,2222.0,,0.0,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20000.0,
24,3,Bayesian ridge,0.6166666666666667,0.20319774183540756,0.06632724580450058,0.36666666666666664,0.13737406075296865,0.1679211701908479,,,,,,,,,
24,3,POPS hypercube,0.9833333333333333,0.5999793769867001,0.08640790151102004,0.6166666666666667,0.37561864782073784,0.16220887241395876,,,,,,,,,
24,3,POPS ellipse,0.9,0.7426724587672251,0.06770769305758745,0.4666666666666667,0.45430859771350196,0.1687576573899226,,,,,,,,,
24,3,Ellipse+EB,0.9833333333333333,0.8423448716002655,0.0674337164653506,0.6166666666666667,0.46797321900355426,0.1664796821514884,,,,,,,,,
24,3,Ellipse+PAC,1.0,1.2787632460066305,0.08235685145693929,0.7333333333333333,0.8244731960761014,0.20807635240114097,,,,,,,,,
24,3,Bayesian stacking,0.6166666666666667,0.4179490317991653,0.06203617239823484,0.45,0.2518081383976083,0.1689281128766983,,,,,,,,,
24,3,PVI,1.0,0.8959497142442021,0.07498741880255591,0.7,0.6304872416861171,0.11793879883458148,True,20000.0,20000.0,0.0,,,,,
24,3,PACm,0.9666666666666667,1.0459284633312498,0.10138918828973698,0.75,0.6437635807734929,0.17051818661873422,True,271.0,297.0,,0.0,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20000.0,
24,3,PAC2-T,0.016666666666666666,0.0072579203493191025,0.06955299234012394,0.0,0.005303417496477371,0.18067013941628174,True,1416.0,1531.0,,0.0,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20000.0,
24,4,Bayesian ridge,0.5,0.12447184604967786,0.07093162092012627,0.36666666666666664,0.0946912171325825,0.1593009753548282,,,,,,,,,
24,4,POPS hypercube,0.8666666666666667,0.5757181080855727,0.09227561486079677,0.5333333333333333,0.2875025698758672,0.16121147828078985,,,,,,,,,
24,4,POPS ellipse,0.8166666666666667,0.4953636159146956,0.06878583978358249,0.4666666666666667,0.32269558869484444,0.15736034545740238,,,,,,,,,
24,4,Ellipse+EB,0.9166666666666666,0.5758450374064046,0.07026963040812875,0.5333333333333333,0.366357536195668,0.15577216638688562,,,,,,,,,
24,4,Ellipse+PAC,0.9,0.6279984847475979,0.09858492022415363,0.5666666666666667,0.45381446574696893,0.1798746531713122,,,,,,,,,
24,4,Bayesian stacking,0.5666666666666667,0.30264184155924057,0.07251246128632027,0.43333333333333335,0.2953542383790919,0.1607237191406749,,,,,,,,,
24,4,PVI,0.9166666666666666,0.6598773012633186,0.10177647925502963,0.6166666666666667,0.6691942600183107,0.13954647815363297,True,20000.0,20000.0,0.0,,,,,
24,4,PACm,1.0,0.8131814976208951,0.07910864933612555,0.6333333333333333,0.5264914892774386,0.1818830796971932,True,291.0,324.0,,0.0,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20000.0,
24,4,PAC2-T,0.03333333333333333,0.00632854348966191,0.06860383107861559,0.05,0.0051885919589913215,0.1563929101035038,True,2905.0,3067.0,,0.0,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20000.0,
24,5,Bayesian ridge,0.6333333333333333,0.14113364772352327,0.03623611293942873,0.3333333333333333,0.10540177110401719,0.1546148557179453,,,,,,,,,
24,5,POPS hypercube,0.8166666666666667,0.3213156802140039,0.05621350472513924,0.5,0.22716431106354262,0.15071343974142073,,,,,,,,,
