problem,size,seed,method,n_rows,n_units,n_params,units_per_param,failed,fit_time,rmse,coverage_95.45,width_95.45,coverage_99.9,width_99.9,interval_score,nll,zero_density,nll_floor,pp_area_signed,pp_area_abs,pit_area_signed,pit_area_abs,bound,continuous_bound,n_cert_units,moment_constant,n_stored,failure_probability,trivial_bound,lam,empirical,monte_carlo,kl,complexity,concentration,mixture_empirical,outside_support_fraction,pac_test_risk,pvi_lam,converged,n_iter,n_fev,n_skipped,n_nonfinite,termination_status,termination_message,max_iter,max_fun
burgers,24.0,7,PVI (lamb=1),72,24,8,3.0,False,2.667136374861002,0.0803386758254036,0.9390625,0.2912687257214,0.9796875,0.4792131784424802,0.4078542159339883,-1.5624941752468071,0.0,-1.7194339994471222,-0.0396261734430571,0.0400379738205328,0.001360116436872,0.0255854739070414,,,,,,,,,,,,,,,,,1.0,True,20000.0,20000.0,0.0,,,,,
burgers,24.0,7,POPS ellipse (free center),72,24,8,3.0,False,0.0098644592799246,0.0822575879641082,0.896875,0.2077658025904773,0.95,0.2921716233544446,0.3297965438141954,inf,0.0322916666666666,-1.752910233625435,0.0332555378806791,0.0342906581613214,-0.0065481371733104,0.0349459350428176,,,,,,,,,,,,,,,,,,,,,,,,,,
burgers,24.0,7,Ellipse+EB (free center),72,24,8,3.0,False,0.0112439170479774,0.0823005832257482,0.9458333333333332,0.2190502444325378,0.9864583333333332,0.3189114968614505,0.3110504555091514,inf,0.0046875,-1.9602924775988664,0.0250527456069515,0.0291523496270116,-0.0050696572979336,0.0132795339666118,,,,,,,,,,,,,,,,,,,,,,,,,,
burgers,24.0,7,Ellipse+PAC (free center),72,24,8,3.0,False,0.2699225000105798,0.095460770781869,0.9895833333333334,0.3871372994757395,0.996875,0.6765386490522717,0.4277954405259303,inf,0.0005208333333333,-1.5777075694823026,-0.0706163258022704,0.0706163258022704,0.0011787709601169,0.0513127684677494,3.624680260925035,3.253830381244149,24.0,5.036073675098959,1024.0,0.07,5.560681631015528,3.0,-1.7847312731469178,0.0456137789250738,2.1769979472383616,4.992947875465993,0.0,-1.936352418469921,0.0121944444444444,-1.5697493513180223,,,,,,,,,,
burgers,24.0,8,Bayesian ridge,72,24,8,3.0,False,0.0007755830883979,0.0682647936264011,0.4125,0.0446543652101253,0.5989583333333334,0.0734681014265282,1.1055810706619331,16.798221642564975,0.0,0.7099524825821698,0.2696085580168744,0.2696085580168744,0.0049276374362368,0.1584616100174664,,,,,,,,,,,,,,,,,,,,,,,,,,
burgers,24.0,8,POPS hypercube,72,24,8,3.0,False,0.1717090001329779,0.0682647936264011,0.7072916666666667,0.1066439136334882,0.8880208333333334,0.1427857644952708,0.497179502257965,,,,0.0821179834994765,0.0821181437407691,-0.0002001444498662,0.0903371855947714,,,,,,,,,,,,,,,,,,,,,,,,,,
burgers,24.0,8,POPS ellipse,72,24,8,3.0,False,0.0060167922638356,0.068264793626401,0.8369791666666667,0.1329867697295222,0.9651041666666668,0.1870132616261171,0.3331423543563137,inf,0.0171875,-1.8635215575304187,0.076001559363027,0.0762583647829489,0.0038903544137056,0.0625229857364263,,,,,,,,,,,,,,,,,,,,,,,,,,
burgers,24.0,8,Ellipse+EB,72,24,8,3.0,False,0.0067308330908417,0.068264793626401,0.9270833333333334,0.1579759300242701,0.9807291666666668,0.2444692088230957,0.3102998891822628,inf,0.0072916666666666,-1.922317127673565,0.0437120967437384,0.0439893150988112,0.0024109821482544,0.0227431766299233,,,,,,,,,,,,,,,,,,,,,,,,,,
burgers,24.0,8,Ellipse+PAC,72,24,8,3.0,False,0.197664082981646,0.0680376145967819,0.9546875,0.1876379595739983,0.9953125,0.4171293332861607,0.2863781216711067,-1.8664535441352803,0.0,-1.8617242660004316,-0.0202408271368684,0.040579472572395,0.0015976251205751,0.0157352001251079,2.7612124187160427,2.343451066354165,24.0,5.036073675098959,1024.0,0.07,5.560681631015528,0.9375,-2.261894183770292,0.0337156252313897,0.5672732770338731,4.571629624893067,0.0,-2.2928807574943617,0.0092951388888888,-1.854324052401527,,,,,,,,,,
burgers,24.0,8,Bayesian stacking,72,24,8,3.0,False,0.0140137081034481,0.0698884238275954,0.9005208333333333,0.2124334927039423,0.9328125,0.274371251497854,0.5588698694303252,1.0923617576632252,0.0,-0.9708997856421526,-0.1164300632475366,0.1167222740041775,0.0049240775266853,0.0253311484753901,,,,,,,,,,,,,,,,,,,,,,,,,,
burgers,24.0,8,PVI,72,24,8,3.0,False,2.0511324582621455,0.0728973812585189,0.903125,0.192279262776346,0.9541666666666668,0.3163496404751831,0.4623260711231494,-1.0357189683182322,0.0,-1.650266897052337,0.0331459628207583,0.0341105617951917,-0.0006400908929715,0.0221630266258243,,,,,,,,,,,,,,,,,0.0,True,20000.0,20000.0,0.0,,,,,
burgers,24.0,8,PVI (lamb=1),72,24,8,3.0,False,2.5047676670365036,0.0730292532763747,0.9036458333333334,0.1925600523290703,0.9546875,0.3168116126752578,0.457500915289619,-1.0162894887395273,0.0,-1.6367275132034715,0.035465755462288,0.0365376340263253,-0.0004247431804832,0.0239876483894838,,,,,,,,,,,,,,,,,1.0,True,20000.0,20000.0,0.0,,,,,
burgers,24.0,8,POPS ellipse (free center),72,24,8,3.0,False,0.0075995409861207,0.0693131166986282,0.8130208333333333,0.1260985143689181,0.9229166666666668,0.1773266205813858,0.4003949946821327,inf,0.0328125,-1.7639648333862832,0.0442237207621626,0.0445002487340197,4.06003438801969e-05,0.0385277592888507,,,,,,,,,,,,,,,,,,,,,,,,,,
burgers,24.0,8,Ellipse+EB (free center),72,24,8,3.0,False,0.008875458035618,0.0693009998264931,0.8973958333333333,0.1428519976414884,0.96875,0.2141485899362433,0.3679481624989911,inf,0.0119791666666666,-1.9566346723730597,0.0167627769043335,0.0274646265262449,0.0010416727925091,0.0129114914904982,,,,,,,,,,,,,,,,,,,,,,,,,,
burgers,24.0,8,Ellipse+PAC (free center),72,24,8,3.0,False,0.1969555830582976,0.0683199701196967,0.9734375,0.2133890867274808,0.9953125,0.4431527738383189,0.2986046477837132,-1.86699459321404,0.0,-1.8629148252373997,-0.0344519933066087,0.0374964395031564,0.002026554265586,0.0246511879348148,3.1310392122615394,2.728189535304273,24.0,5.036073675098959,1024.0,0.07,5.560681631015528,4.5,-2.176973743143488,0.0432300345238229,1.4837352924979743,4.8619332439239376,0.0,-2.2899940784421036,0.0079201388888888,-1.8557525011497176,,,,,,,,,,
burgers,24.0,9,Bayesian ridge,72,24,8,3.0,False,0.0007638749666512,0.0658664639117239,0.4885416666666666,0.0467065495865316,0.70625,0.0768444810750193,0.8893594279548473,20.743680868014437,0.0,-0.2939478262838743,0.2326905918104636,0.2326905918104636,0.0029027718884113,0.1367123441278478,,,,,,,,,,,,,,,,,,,,,,,,,,
burgers,24.0,9,POPS hypercube,72,24,8,3.0,False,0.1823442499153316,0.0658664639117239,0.5713541666666667,0.2068977094292496,0.8651041666666667,0.2529731504362517,0.61383547414297,,,,-0.1689603402874617,0.1689629441246471,0.0008522033691471,0.1514943610297312,,,,,,,,,,,,,,,,,,,,,,,,,,
burgers,24.0,9,POPS ellipse,72,24,8,3.0,False,0.006453167181462,0.0658664639117239,0.9171875,0.2317717863410268,0.959375,0.3259301493250304,0.3381902213530843,inf,0.0244791666666666,-1.7369837778492017,-0.0613305589883282,0.061941767479348,0.0020665819920587,0.0378359424364427,,,,,,,,,,,,,,,,,,,,,,,,,,
