problem,N,repeat,method,sigma,n_samples,converged,termination,termination_status,termination_message,n_iter,n_fev,max_iter,max_fun,n_nonfinite,train_variance,train_objective,train_data,train_kl,fresh_objective,fresh_data,fresh_kl,fit_time,rmse,coverage_95.45,width_95.45,coverage_99.9,width_99.9,interval_score,nll,zero_density,nll_floor,pp_area_signed,pp_area_abs,pit_area_signed,pit_area_abs
burgers,8,14,Ellipse+PAC,,,True,closed_form,,,,,,,,,,,,,,,0.312942957971245,0.0749703063566289,0.9177083333333332,0.2735240339489511,0.9822916666666668,0.4735932798808008,0.5392989831817503,inf,0.0026041666666666,-1.5565284087083535,-0.0258385531108063,0.0264046534104258,0.0059613569514543,0.0387045057145684
burgers,8,15,Ellipse+PAC,,,True,closed_form,,,,,,,,,,,,,,,0.3786310004070401,0.0880054282095901,0.9916666666666668,0.5504710224916463,0.9994791666666668,1.628960552402798,0.5843781458179109,-1.3371015362764478,0.0,-1.3286433549908263,-0.0885463704000834,0.0885463704000834,0.0014799835128564,0.0712880979587866
burgers,8,16,Ellipse+PAC,,,True,closed_form,,,,,,,,,,,,,,,0.5143849169835448,0.1015480426207755,0.9338541666666668,0.3218561262793169,0.9666666666666668,0.5759322414388759,0.6678221439449616,inf,0.0083333333333333,-1.2662751761131985,-0.0270186010997872,0.0344804442165914,-0.0008655430721737,0.0172927768431105
burgers,8,17,Ellipse+PAC,,,True,closed_form,,,,,,,,,,,,,,,0.5184065839275718,0.0808687374584489,0.9598958333333332,0.371899446685079,0.990625,0.7090180133492316,0.4310614080614421,-1.382480345922725,0.0,-1.38173118387009,-0.0314049307502447,0.0314049307502447,0.0023361278382078,0.0161552646090364
burgers,8,18,Ellipse+PAC,,,True,closed_form,,,,,,,,,,,,,,,0.4257763749919832,0.0863475099070324,0.9213541666666668,0.242125818380858,0.96875,0.4961651843983119,0.6013268393967878,inf,0.0078125,-1.5019719186585698,-0.0124916087259769,0.0368907091302733,0.0024304172802348,0.0184383010981149
burgers,8,19,Ellipse+PAC,,,True,closed_form,,,,,,,,,,,,,,,0.4418191253207624,0.0977539654870986,0.946875,0.3616250976864712,0.9848958333333334,0.7792575212664101,0.5596753508838372,inf,0.0020833333333333,-1.2805322079987946,-0.0219282955591308,0.0219382466456355,0.0009793341556978,0.0193696803011935
burgers,8,0,POPS ellipse,,,True,closed_form,,,,,,,,,-1.1140357132632035,,,,,,0.0231603332795202,0.0773138034896442,0.7984375000000001,0.134176421838757,0.8911458333333334,0.1886862154199872,0.6280215338125723,inf,0.0817708333333333,-1.1605478931038666,0.1363222885124973,0.13653168148396,-0.0004238047013575,0.0800838670574064
burgers,8,1,POPS ellipse,,,True,closed_form,,,,,,,,,-1.375133660620612,,,,,,0.0371887078508734,0.083049470641808,0.7578125,0.1744502930904048,0.828125,0.2453215336273259,0.7351042046097411,inf,0.140625,-0.6870290410124156,0.1032366307572041,0.1035907929841529,0.0031436504333765,0.0667073623216664
burgers,8,2,POPS ellipse,,,True,closed_form,,,,,,,,,-0.9188625516869612,,,,,,0.0061245416291058,0.11751476312979,0.8916666666666667,0.2212562475633714,0.9385416666666666,0.3111426241559584,0.6542333786006339,inf,0.0505208333333333,-1.200690747598591,0.1114577982155454,0.1116209153536034,0.0109609054674295,0.0804364103961326
burgers,8,3,POPS ellipse,,,True,closed_form,,,,,,,,,-0.1672344995839016,,,,,,0.0094751669093966,0.0761640671915143,0.9578125,0.4314294951585022,0.9838541666666668,0.6066997282122473,0.4821591703227549,inf,0.0083333333333333,-1.3376723540277569,-0.0847357336673709,0.0847599591929291,-0.0005435041010926,0.0644678223429933
