problem,size,seed,n_units,n_test_units,units_per_param,fold,prior_std,n_prior_draws,test_unit_fraction,softmax_median,softmax_spread
burgers,8.0,0,8,120,1.0,1,1.0,1024,0.5,1.6748082418261376,0.46536491478258224
burgers,8.0,0,8,120,1.0,1,1.0,4096,0.5,1.8195311727704953,0.4425581572131223
burgers,8.0,0,8,120,1.0,1,1.0,64,1.0,1.6710301408418058,0.24969094902976297
burgers,8.0,0,8,120,1.0,1,1.0,256,1.0,1.6670995134570739,0.12179784724246567
burgers,8.0,0,8,120,1.0,1,1.0,1024,1.0,1.6861496434802152,0.07657996497243014
burgers,8.0,0,8,120,1.0,1,1.0,4096,1.0,1.6920293609945607,0.03267365442286452
burgers,8.0,1,8,120,1.0,0,1.0,64,0.25,2.564107822300284,1.5004198507267539
burgers,8.0,1,8,120,1.0,0,1.0,256,0.25,2.582758448844174,1.860987610748897
burgers,8.0,1,8,120,1.0,0,1.0,1024,0.25,2.3806545687143106,1.7911278445535355
burgers,8.0,1,8,120,1.0,0,1.0,4096,0.25,2.632503975216405,0.6576575994700522
burgers,8.0,1,8,120,1.0,0,1.0,64,0.5,2.572598237372963,0.6062308465521631
burgers,8.0,1,8,120,1.0,0,1.0,256,0.5,2.5107775981535645,0.42568249409249237
burgers,8.0,1,8,120,1.0,0,1.0,1024,0.5,2.7685039995600995,0.489308209193422
burgers,8.0,1,8,120,1.0,0,1.0,4096,0.5,2.5443021761817053,0.8623283313389187
burgers,8.0,1,8,120,1.0,0,1.0,64,1.0,2.61618633118939,0.02187341599053161
burgers,8.0,1,8,120,1.0,0,1.0,256,1.0,2.613664567334568,0.00944226631480305
burgers,8.0,1,8,120,1.0,0,1.0,1024,1.0,2.6141407099407217,0.007400599264253405
burgers,8.0,1,8,120,1.0,0,1.0,4096,1.0,2.6127094203554995,0.0024680358037447725
burgers,8.0,1,8,120,1.0,1,0.125,64,0.25,0.47938557444035534,0.37951109660926674
burgers,8.0,1,8,120,1.0,1,0.125,256,0.25,0.3778611009767854,0.31840503028907613
burgers,8.0,1,8,120,1.0,1,0.125,1024,0.25,0.46710165091840805,0.43308454414625186
burgers,8.0,1,8,120,1.0,1,0.125,4096,0.25,0.49382392203338066,0.3118125937635959
burgers,8.0,1,8,120,1.0,1,0.125,64,0.5,0.4132735409017173,0.15990910293973448
burgers,8.0,1,8,120,1.0,1,0.125,256,0.5,0.4208186825116692,0.14507854513849505
burgers,8.0,1,8,120,1.0,1,0.125,1024,0.5,0.40052551228753375,0.20190593112025623
burgers,8.0,1,8,120,1.0,1,0.125,4096,0.5,0.42492319148066127,0.15189270930705628
