N,repeat,method,sigma,n_samples,converged,n_nonfinite,train_objective,fit_time,rmse,coverage_95.45,width_95.45,coverage_99.9,width_99.9,interval_score,nll,zero_density,nll_floor
10,1,pac2t_ensemble,0.1,16.0,True,0,6.843882944939535,0.022643415722995996,61.85611147098892,0.0515,9.900373124340076,0.099,13.870346779435062,1422.2092254475529,,,
10,1,pac2t_ensemble,0.03,16.0,True,0,91.64905828047904,0.0570765002630651,61.82869069857503,0.0135,2.7271696785890827,0.0175,3.61696341942643,1570.0234219620797,,,
10,1,pac2t_ensemble,0.01,16.0,True,0,849.1681329745277,0.03295399993658066,62.02739975148577,0.0055,0.6527245543505898,0.006,0.8030166030290055,1615.9577618158748,,,
10,1,pac2t_ensemble,0.003,16.0,True,0,9478.385883526798,0.039995542261749506,62.05031950725067,0.0,0.08090641382637677,0.0005,0.10061857341443656,1627.6476808941954,,,
10,1,pvi,1.0,1.0,True,0,1.0042974985664026,1.4012245000340044,61.992854274724394,0.0025,0.3226364023850896,0.004,0.5308212046633966,1621.94787105099,125939.24192093906,0.0,10.32335408717773
10,1,pvi,0.3,1.0,True,0,0.6633718960399051,1.4131593341007829,62.03502029618275,0.0,0.09991285432840263,0.0005,0.16438275812615474,1626.931144349568,1310118.3255434355,0.0,10.362587263446203
10,1,pvi,0.1,1.0,True,0,7.151973155385091,1.2867337502539158,62.05182089629182,0.0,0.035270969413509906,0.0,0.05802996294069291,1628.4409629852037,10506728.871991964,0.0,10.371982983860828
10,1,pvi,0.03,1.0,True,0,92.25252452154304,1.298407250083983,62.053991983116326,0.0,0.013208508921473188,0.0,0.02173144928988917,1628.8867691091127,76346997.90522693,0.0,10.373491181781866
10,1,pvi,0.01,1.0,True,0,849.8750153973269,1.2967870831489563,62.05303960534962,0.0,0.011255826603589083,0.0,0.01851877653305884,1628.8627832776426,105113957.99956632,0.0,10.373491181781818
10,1,pvi,0.003,1.0,True,0,9479.129410284828,1.293126208242029,62.05922774895785,0.0,0.011305015578740385,0.0,0.01859970525298332,1628.9605172777917,106790280.82433984,0.0,10.373491181781866
10,1,pvi,1.0,16.0,True,0,1.0042960676819241,1.4463914171792567,62.046488878177705,0.0045,0.3621721272318069,0.005,0.5958678049082321,1621.6660345276628,100490.9101058815,0.0,10.311799994068314
10,1,pvi,0.3,16.0,True,0,0.3380911921145602,1.4599185422994196,72.40853984670329,0.2185,42.75406364289429,0.2875,70.3416086945106,1015.3777652055371,4711.657877599952,0.0,8.709946636764675
10,1,pvi,0.1,16.0,True,0,0.3263313820360798,1.4593939171172678,64.53794774219634,0.641,79.99297934144037,0.8595,131.60935760731704,514.8069288738988,11.028141381729613,0.0,5.685282643024784
10,1,pvi,0.03,16.0,True,0,3.0717804106917743,1.516279666684568,58.471209976267446,0.824,102.41024324756971,0.964,168.49161560406313,367.89316706300957,5.239462443258908,0.0,5.070231740686382
10,1,pvi,0.01,16.0,True,0,28.76337586041918,1.552008000202477,55.84284165818402,0.8795,105.89692274132254,0.965,174.22811463351846,355.15549121962675,5.2799450429444805,0.0,5.1043900862718585
10,1,pvi,0.003,16.0,True,0,311.277815663956,1.5511476253159344,56.47311770249022,0.867,106.65002840256751,0.9645,175.4671702744369,360.83383607640815,5.296885519216641,0.0,5.134552357724948
10,2,POPS ellipse,,,True,0,0.8979864281962953,0.01025466714054346,38.39048774822882,1.0,347.42188540214937,1.0,448.4199899743922,347.42188540214937,4.965815868103134,0.0,4.9672755745709125
10,2,Ellipse+EB,,,True,0,0.8979864281962953,0.005204125307500362,38.390487748228814,1.0,350.26910095842726,1.0,455.69478521659,350.26910095842726,4.984660639910518,0.0,4.986071758122492
10,2,Ellipse+PAC,,,True,0,,0.11999179190024734,43.27546697180821,1.0,775.8658400204506,1.0,1733.0389497804888,775.8658400204506,5.316012673769645,0.0,5.312807716303536
10,2,Bayesian stacking,,,True,0,,0.007389832753688097,36.62245686585933,0.6885,83.0882538965308,0.9905,153.42560949553632,280.1051334794918,5.393710003092405,0.0,5.369410477795613
10,2,pacm,1.0,1.0,True,0,2.470871738173439,0.009171207901090384,35.010783238439295,1.0,164.91988258289254,1.0,271.3363095374066,164.91988258289254,4.943398851386075,0.0,4.94856182700454
10,2,pacm,0.3,1.0,True,0,4.1843402746970835,0.0069876667112112045,34.97609485122525,0.4855,51.10340962177802,0.754,84.07846497575675,448.7038985304518,7.004191768618803,0.0,6.354443232242558
10,2,pacm,0.1,1.0,True,0,24.071605181863056,0.013289208989590406,34.97281064584793,0.0975,17.089131255111855,0.2365,28.11608725001236,946.8440920181031,34.338173818658845,0.0,8.896681529750355
10,2,pacm,0.03,1.0,True,0,255.94555885541226,0.02918808301910758,34.972433748242054,0.0275,5.128714873847077,0.047,8.438076384391177,1181.0303325018408,356.5104537202001,0.0,9.999057786220849
10,2,pacm,0.01,1.0,True,0,2299.1416616498186,0.07045329175889492,34.97240238718751,0.0095,1.709627576119522,0.0125,2.812784182977416,1251.4425243581084,3198.323291306805,0.0,10.248921823369132
10,2,pacm,0.003,1.0,True,0,25546.14380616387,0.13067900016903877,34.97239796737622,0.002,0.513444515647981,0.004,0.8447504196961875,1276.3689684343078,35497.78432512028,0.0,10.323324746917555
