problem,size,seed,method,n_rows,n_units,n_params,units_per_param,failed,fit_time,rmse,coverage_95.45,width_95.45,coverage_99.9,width_99.9,interval_score,nll,zero_density,nll_floor,bound,trivial_bound,lam,empirical,monte_carlo,kl,complexity,concentration,mixture_empirical,outside_support_fraction,pac_test_risk,pvi_lam,converged,n_nonfinite
burgers,16.0,12,Ellipse+PAC (free center),48,16,8,2.0,False,0.2994860000908375,0.0712543644914129,0.9848958333333332,0.3632678816487542,0.9973958333333334,0.6479123331040173,0.4035283144393293,inf,0.0005208333333333,-1.7233632488848418,4.45231430070365,5.560681631015528,3.0,-1.4628196253181582,0.0558977593826108,2.7860488246868775,5.859236166639198,0.0,-1.7234673545572887,0.024921875,,,,
burgers,16.0,13,Bayesian ridge,48,16,8,2.0,False,0.0008176248520612,0.0660527991360991,0.6442708333333333,0.0656155283729446,0.81875,0.1079546931408548,0.7611488099806443,13.300880208427207,0.0,-0.9762158543058508,,,,,,,,,,,,,,
burgers,16.0,13,POPS hypercube,48,16,8,2.0,False,0.1803807504475116,0.0660527991360991,0.6692708333333334,0.1272742328047812,0.865625,0.1662258391350932,0.4956145242711904,,,,,,,,,,,,,,,,,
burgers,16.0,13,POPS ellipse,48,16,8,2.0,False,0.0074891247786581,0.0660527991360991,0.9286458333333332,0.1651019473139065,0.9770833333333332,0.2286176353226366,0.3243386354579033,inf,0.015625,-1.9401207844619712,,,,,,,,,,,,,,
burgers,16.0,13,Ellipse+EB,48,16,8,2.0,False,0.0303867082111537,0.066052799136099,0.9708333333333332,0.2116356810899004,0.9833333333333332,0.3244516162544638,0.3476624235093462,inf,0.009375,-1.8622590904505547,,,,,,,,,,,,,,
burgers,16.0,13,Ellipse+PAC,48,16,8,2.0,False,0.2206159578636288,0.0773800639014892,0.9822916666666668,0.6416916879219017,0.9916666666666668,1.042492647596206,0.7290012148975448,inf,0.0010416666666666,-1.4149753042910658,4.677950797783556,5.560681631015528,1.25,-0.9918168983490162,0.0325360414779205,3.891315733101852,5.63723165465465,0.0,-1.004353241947956,0.0046145833333333,-1.409050943674637,,,
burgers,16.0,13,Bayesian stacking,48,16,8,2.0,False,0.0132019580341875,0.0723000517993896,0.8677083333333333,0.1828595387653649,0.9270833333333334,0.2586100313856433,0.6665451279207482,0.4755804183594851,0.0,-1.1695117470481884,,,,,,,,,,,,,,
burgers,16.0,13,PVI,48,16,8,2.0,False,2.014912790618837,0.0673154053964247,0.9182291666666668,0.2249619574675312,0.9552083333333332,0.3701212150382854,0.4527394059948937,-1.2411675429073583,0.0,-1.6896361149027248,,,,,,,,,,,,0.0,True,
burgers,16.0,13,PVI (lamb=1),48,16,8,2.0,False,2.642124124802649,0.0671069994739272,0.9208333333333332,0.2248580672933081,0.9614583333333332,0.3699502885494387,0.4446394290689089,-1.2380705867919168,0.0,-1.7157877008181586,,,,,,,,,,,,1.0,True,
burgers,16.0,13,POPS ellipse (free center),48,16,8,2.0,False,0.0073796669021248,0.0690216172623292,0.8979166666666667,0.1865412428476456,0.9604166666666668,0.2583047536616325,0.3585687089338767,inf,0.0229166666666666,-1.8281449441285893,,,,,,,,,,,,,,
burgers,16.0,13,Ellipse+EB (free center),48,16,8,2.0,False,0.0080613330937922,0.0691265669702749,0.9604166666666668,0.208171079144399,0.9864583333333332,0.3036135875384937,0.3325927786134716,inf,0.0083333333333333,-1.9324521183059733,,,,,,,,,,,,,,
burgers,16.0,13,Ellipse+PAC (free center),48,16,8,2.0,False,0.2992068752646446,0.0667428789302978,0.9859375,0.5387130186983254,0.9953125,0.9168504131544316,0.606351744504184,inf,0.0015625,-1.5757102898217177,4.740994978849855,5.560681631015528,4.0,-1.2032806345804352,0.0418738458971502,4.590392041501181,5.90240176753314,0.0,-1.2814990541950324,0.006984375,,,,
burgers,16.0,14,Bayesian ridge,48,16,8,2.0,False,0.0007531670853495,0.0667378309203797,0.7041666666666667,0.0702409243190191,0.8510416666666667,0.115564678343981,0.7641076128234253,19.437556593776527,0.0,-1.2877379991581814,,,,,,,,,,,,,,
burgers,16.0,14,POPS hypercube,48,16,8,2.0,False,0.1753376252017915,0.0667378309203797,0.6755208333333333,0.0845783582910622,0.8244791666666667,0.1175148154261671,0.6009214294965801,,,,,,,,,,,,,,,,,
burgers,16.0,14,POPS ellipse,48,16,8,2.0,False,0.0072902501560747,0.0667378309203798,0.728125,0.0971031184417961,0.8541666666666666,0.1344592579420624,0.4646170552160666,inf,0.0953125,-1.2760572877042804,,,,,,,,,,,,,,
burgers,16.0,14,Ellipse+EB,48,16,8,2.0,False,0.0074448753148317,0.0667378309203798,0.9296875,0.1365126167648284,0.9661458333333334,0.2122084009865693,0.3860861672855614,inf,0.0192708333333333,-1.958503590069676,,,,,,,,,,,,,,
burgers,16.0,14,Ellipse+PAC,48,16,8,2.0,False,0.2061548749916255,0.0703486164566154,0.9723958333333332,0.9244848538953662,0.9859375,1.495455235293065,1.055262878621589,inf,0.0078125,-1.419308918425349,4.243110845690804,5.560681631015528,3.0,-1.5042662266797746,0.0322563485792907,4.429943524636028,5.715120723791288,0.0,-1.512387329290405,0.004078125,-1.418113416780737,,,
burgers,16.0,14,Bayesian stacking,48,16,8,2.0,False,0.0119380420073866,0.0685489916995123,0.8588541666666667,0.170309343922176,0.9177083333333332,0.2467759607351088,0.681070615462835,-0.1959094764231055,0.0,-1.7077550758355036,,,,,,,,,,,,,,
