cases,seed,method,dissipation_coverage,dissipation_width,dissipation_error,steepness_coverage,steepness_width,steepness_error
40,3,POPS hypercube,0.7,0.342549436694102,0.0753717533701325,0.4833333333333333,0.2401829886120372,0.1772110008846717
40,3,POPS ellipse,0.7166666666666667,0.392531519496884,0.1245805555107537,0.4833333333333333,0.3244551671742702,0.2306144582814711
40,3,Ellipse+EB,0.7166666666666667,0.4532726360483853,0.1324434279580365,0.5,0.3877625199468411,0.2281111868610311
40,3,Ellipse+PAC,0.8,0.589414481125727,0.1293567488144609,0.55,0.3972406534556172,0.227588349859698
40,3,Bayesian stacking,0.4833333333333333,0.3262478216670703,0.132695421074547,0.3666666666666666,0.344634404723291,0.2394019150445683
40,3,PVI,0.8,0.5285482363277312,0.1295199390083246,0.5833333333333334,0.4931161470359779,0.2005376683425964
40,4,Bayesian ridge,0.1,0.0492797639472721,0.116111545440353,0.1333333333333333,0.0407525037087608,0.1937551538717295
40,4,POPS hypercube,0.7666666666666667,0.3830816085507075,0.0854484368453541,0.6,0.2480226728040664,0.115287070476722
40,4,POPS ellipse,0.7833333333333333,0.417682851941368,0.1194853486923474,0.5166666666666667,0.2840858182470825,0.1950202913076665
40,4,Ellipse+EB,0.7833333333333333,0.4353150354425507,0.1133916002393932,0.5166666666666667,0.3148586082911605,0.192886235154423
40,4,Ellipse+PAC,0.5666666666666667,0.2690439454415748,0.1040878376693599,0.3666666666666666,0.2129364713850306,0.1963492639793512
40,4,Bayesian stacking,0.3666666666666666,0.2911125144450434,0.1202243038827379,0.3166666666666666,0.2610781214571259,0.1977407848612284
40,4,PVI,0.6666666666666666,0.2972648712140753,0.1073182458068188,0.4833333333333333,0.3309549664110016,0.1992795263332304
40,5,Bayesian ridge,0.6333333333333333,0.1294261865370628,0.0453329619877788,0.3166666666666666,0.0997810435278808,0.1489664929420106
40,5,POPS hypercube,0.9166666666666666,0.4719362102976568,0.0682293939722472,0.5833333333333334,0.2959590738328144,0.1441606623753629
40,5,POPS ellipse,0.9,0.4574965685690251,0.0487020147260287,0.5666666666666667,0.3014530803936117,0.1444193341907366
40,5,Ellipse+EB,0.9333333333333332,0.5251418202652631,0.052027443381684,0.6,0.3428735476109311,0.1448725742981291
40,5,Ellipse+PAC,0.9166666666666666,0.5044308420848592,0.0451656931195605,0.6166666666666667,0.3382629283730325,0.1545560461004256
40,5,Bayesian stacking,0.65,0.4291979453919461,0.0543654679790756,0.4333333333333333,0.3560478189984306,0.1576046649199867
40,5,PVI,0.9166666666666666,0.7154042656732174,0.0785866950679618,0.6166666666666667,0.4815331522105714,0.129126890056139
40,6,Bayesian ridge,0.5166666666666667,0.1258812458911494,0.0741517425143916,0.3166666666666666,0.0943223267461722,0.168625947271401
40,6,POPS hypercube,1.0,0.9053704529411496,0.1432613340419665,0.7166666666666667,0.4978887881754613,0.1764394125430821
40,6,POPS ellipse,0.9666666666666668,0.9348518078936884,0.0756841510389931,0.7,0.5881146820244398,0.1720525224372411
40,6,Ellipse+EB,0.9666666666666668,0.9657868647344447,0.0887961015642162,0.7333333333333333,0.5989518454011968,0.1706894788647915
40,6,Ellipse+PAC,1.0,1.7065112217992155,0.0723856263523969,0.7833333333333333,1.0414599409226506,0.1721228177531145
40,6,Bayesian stacking,0.5666666666666667,0.3744954387614412,0.0769862639840881,0.4166666666666667,0.3189314228766673,0.1714893586263065
40,6,PVI,1.0,1.0045479047032315,0.1365518725106526,0.7333333333333333,0.6754148341323867,0.155244144759845
40,7,Bayesian ridge,0.5833333333333334,0.127285044719503,0.0717839762857233,0.35,0.0916024726880464,0.1483227504759014
40,7,POPS hypercube,0.9833333333333332,0.5361732610991878,0.1085816733504865,0.6166666666666667,0.3201759008399616,0.1154770796075881
40,7,POPS ellipse,0.9,0.5313823507933833,0.0770307012607612,0.5166666666666667,0.3392488026758762,0.1508346775527236
40,7,Ellipse+EB,0.9333333333333332,0.6393107024172694,0.0860440751973871,0.5666666666666667,0.3710372029657397,0.1524493058930166
40,7,Ellipse+PAC,0.95,0.8154177631795765,0.0834378435689645,0.6166666666666667,0.4535209689488087,0.1498923311879082
40,7,Bayesian stacking,0.6,0.4103065899969952,0.0771430866744558,0.4333333333333333,0.37443632075346,0.1740753636427504
40,7,PVI,0.9333333333333332,0.815654918242905,0.114264585491719,0.6333333333333333,0.6003102678980059,0.1421811524741918
40,8,Bayesian ridge,0.5166666666666667,0.0972742704337957,0.0527776287288759,0.3166666666666666,0.0701687740051969,0.1856801523172749
40,8,POPS hypercube,0.7666666666666667,0.3043045790776938,0.0645144963832946,0.4666666666666667,0.2153883271665643,0.1856526745890908
40,8,POPS ellipse,0.8333333333333334,0.3507401512489478,0.0509312050485004,0.5166666666666667,0.2829349438916862,0.1858969286704646
40,8,Ellipse+EB,0.8333333333333334,0.413710870126228,0.0493564776405227,0.5333333333333333,0.3127720366857047,0.1795371879405747
40,8,Ellipse+PAC,0.9666666666666668,0.6733217984883473,0.0649968002771396,0.6,0.4415659695038733,0.1755558992932973
40,8,Bayesian stacking,0.5833333333333334,0.3714029224561848,0.0685958839542054,0.4,0.3499154888598786,0.1962970408787373
40,8,PVI,0.8166666666666667,0.4859849410453931,0.1005526142279886,0.5666666666666667,0.4513999858100629,0.2144523932662015
40,9,Bayesian ridge,0.6,0.1206851608175085,0.0573746541248997,0.25,0.082642353671716,0.1643077628053153
40,9,POPS hypercube,1.0,1.2247146240333406,0.2828760913284831,0.85,0.5518321421840203,0.1261876948844596
40,9,POPS ellipse,1.0,0.9966258769521756,0.0733806514542125,0.75,0.6244396574112834,0.163276656602127
40,9,Ellipse+EB,1.0,1.070761114909233,0.0718097114725842,0.7666666666666667,0.6726248418234144,0.1638242481372334
40,9,Ellipse+PAC,1.0,1.5963913933663307,0.0708963178255468,0.7833333333333333,0.958802458789998,0.1600911192718501
40,9,Bayesian stacking,0.6166666666666667,0.4345252695199761,0.0679265324076387,0.45,0.3915941145103839,0.157847854101328
40,9,PVI,0.9833333333333332,0.9663241577640044,0.0578446550180674,0.6666666666666666,0.6622269434769791,0.1471549942933841
40,10,Bayesian ridge,0.6666666666666666,0.131626786259927,0.0260365050778608,0.3333333333333333,0.1018658572488066,0.1678858136318645
40,10,POPS hypercube,1.0,0.8166557559377816,0.1173768522551242,0.7333333333333333,0.4225248165319976,0.1337072287039739
40,10,POPS ellipse,0.9666666666666668,0.6335047146195428,0.0340074925172375,0.6333333333333333,0.4386958565419927,0.1576438889538254
40,10,Ellipse+EB,0.9666666666666668,0.7290033087866243,0.0392782277201695,0.6333333333333333,0.4963716770842414,0.1457579231127443
40,10,Ellipse+PAC,1.0,1.1010975402369343,0.0413974552102229,0.7333333333333333,0.7248554617882619,0.1461590461139296
40,10,Bayesian stacking,0.65,0.4394882965648667,0.0376071388991161,0.4666666666666667,0.4020926480979236,0.1494746816779328
40,10,PVI,1.0,1.043021207282793,0.0848291515135257,0.7166666666666667,0.6982024811511703,0.1054403449320021
40,11,Bayesian ridge,0.5166666666666667,0.1322824391729453,0.0905836382559583,0.3833333333333333,0.0991034432777517,0.1684922213841741
40,11,POPS hypercube,1.0,1.007223399750654,0.0936473672721612,0.75,0.5689976220074004,0.1201446885454524
40,11,POPS ellipse,0.9666666666666668,0.8209763921238533,0.0935269470929136,0.6166666666666667,0.4810480164677768,0.1706687443723201
40,11,Ellipse+EB,0.9666666666666668,0.863519269436593,0.0946036271049191,0.6166666666666667,0.506187162307498,0.1685930918109231
40,11,Ellipse+PAC,0.9833333333333332,1.957796254066793,0.0906639907310024,0.7333333333333333,1.162625871772446,0.1448877940297438
40,11,Bayesian stacking,0.5666666666666667,0.2826877928719968,0.0827734165301633,0.4166666666666667,0.2735015808513057,0.1686793631497392
40,11,PVI,0.9833333333333332,1.1479918972964644,0.0936079934016718,0.6833333333333333,0.6730050366839033,0.1147768495753224
40,12,Bayesian ridge,0.4166666666666667,0.0821853596613298,0.0603341554398354,0.2333333333333333,0.0622484244044832,0.1770938438750841
40,12,POPS hypercube,1.0,0.7038200197943162,0.0890500071306341,0.6,0.3960466809265936,0.1580592682395709
